firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
3eb57e3d141b4a0ba74507e08afd8895,SGLE,Leverage Shares,2024-12-06,Commodities & Metals
3f3fb41b107e4dcdbfa232046f4eaa10,TL5S,Leverage Shares,2024-12-06,Bonds
3f4906e74f954b4a9db450b9eeadb3b6,TAI3,Leverage Shares,2024-12-06,Equities (Stocks)
3fcca7353fcd43a2825370ad62677458,DIS3,Leverage Shares,2024-12-06,Equities (Stocks)
3fe2ec0b7f8848bc96b91d1974d9e420,SJPE,Leverage Shares,2024-12-06,Equities (Stocks)
403ade146cd5424ea5c2e19b256f191a,EUMV,OSSIAM ETF,2024-12-11,Equities (Stocks)
404c23e3d55e4add88b4a84ae799ba06,BA3,Leverage Shares,2024-12-06,Equities (Stocks)
40ce4f6d873f43199c43482921d1f558,HSPA,HSBC,2024-12-11,Equities (Stocks)
40ff5a1c14214d58b0c4c52d71b24498,HSMD,HSBC,2024-12-11,Equities (Stocks)
417715a920414b03beaa039f49c3ce36,HIEU,HSBC,2024-12-11,Equities (Stocks)
4227a304ee194518b7be2b3ef151709c,HIWO,HSBC,2024-12-11,Equities (Stocks)
425278e45fde48b1924f176d10ca6580,NVDE,Leverage Shares,2024-12-06,Equities (Stocks)
43311c37c1ec47d0910a7ec9c21f5c5d,GDMS,Leverage Shares,2024-12-06,Equities (Stocks)
436d9417fce74a2091cf4b39cba11526,XLBP,Invesco,2024-12-06,Equities (Stocks)
4432b55d2abf49a7934b83e2cda9710f,GSLC,Goldman Sachs,2024-12-02,Equities (Stocks)
448ca052754d4dbf9c1bbbfbc9a096b2,GOLB,Market Access,2024-12-06,Equities (Stocks)
44ceaaed535544789afc3f140645999d,3BA,Leverage Shares,2024-12-06,Equities (Stocks)
4594e52e396b42b795232f830773fa7a,JPMS,Leverage Shares,2024-12-06,Equities (Stocks)
45a2399db00f4b5081cdaa2ea7adf119,1BRN,Leverage Shares,2024-12-06,Commodities & Metals
45a63d439e0342988ad8bd1fe37b379d,3XEE,Leverage Shares,2024-12-06,Equities (Stocks)
45e60bb2d8c048d0b2ba22e8871dfa0a,GOOE,Leverage Shares,2024-12-06,Equities (Stocks)
45f0b16683954756bdb9d91f178fa885,HMWO,HSBC,2024-12-11,Equities (Stocks)
46433a6dae8d440dbe56625be0818aac,TSLI,Leverage Shares,2024-12-06,Equities (Stocks)
476ea5566ba44a5084a43b892928997a,AMZD,Leverage Shares,2024-12-06,Equities (Stocks)
478184b14bc3417aa9842300e31113e4,TSLS,Leverage Shares,2024-12-06,Equities (Stocks)
3ed3f142a5be421d8d171afca690ef47,XRES,Invesco,2024-12-06,Equities (Stocks)
3fb5d47660ad44469d3fc5ca3fd458a0,N400,Invesco,2024-12-06,Equities (Stocks)
43f78e85c3284059b90c9ae0116edc28,3PYP,Leverage Shares,2024-12-06,Equities (Stocks)
46057ea775cb47c6b75c7f6760ea6009,XLCS,Invesco,2024-12-06,Equities (Stocks)
3e0d84972d1444d39e3b63b142ab9a8e,EQQD,Invesco,2024-12-06,Equities (Stocks)
414c9af6370649f0a001e441aa407680,HMUS,HSBC,2024-12-11,Equities (Stocks)
41a75f9d138343a887dfe116c356a333,XLIS,Invesco,2024-12-06,Equities (Stocks)
421d479621f94e82bf026d92ee30eaae,HMJPJPY,HSBC,2024-12-11,Equities (Stocks)
4256cd10b5f844d09a47876fc6f9e301,BOLDEUR,21Shares,2024-11-27,Target Date / Multi-Asset
4342099450f54f0eab9c14266711be1e,MANA,21Shares,2024-11-27,Other Asset Types
4591015994f34fa7ac911a509dcefb85,CAPH,OSSIAM ETF,2024-12-11,Equities (Stocks)
46bd4fbc69b54aeda9f24dc59512c496,OP4E,OSSIAM ETF,2024-12-10,Equities (Stocks)
3f7f9eef872f4bc9ad60d5a10a29368b,NEAR,21Shares,2024-11-27,Other Asset Types
44a2ff47a7f74f7498bb5ae6b1205bd1,3KWE,Leverage Shares,2024-12-06,Equities (Stocks)
45d1e3bc62fb4fc385901ed29810cdeb,3AMZ,Leverage Shares,2024-12-06,Equities (Stocks)
43811193ca2f4fdc9ba467604c1859dd,MJP,HSBC,2024-12-11,Equities (Stocks)
444fa6a4079b415dbfcd8d0576f39f72,HMJS,HSBC,2024-12-11,Equities (Stocks)
40190041d3a444e0815dfc94ed04a259,ROX,Expat Capital,2024-11-29,Equities (Stocks)
494518f7065240b7ade10620ee33a411,USTP,OSSIAM ETF,2024-12-11,Bonds
4989511268884eafa64a66b059d4fa4a,SMF3,Leverage Shares,2024-12-06,Equities (Stocks)
4a3cb5cb293c4e91bf0673a651efd6c7,LAAA,Fair Oaks,2024-12-10,Bonds
4c291ab8666044228c49853cb2c7b228,6PSE,Invesco,2024-12-06,Equities (Stocks)
4c6ca34cc45f411498459a2b70847fe1,OP7H,OSSIAM ETF,2024-12-11,Equities (Stocks)
4fa27a3d76af46e0b91f3ba9d41376b1,H4ZN,HSBC,2024-12-11,Equities (Stocks)
503435a462a54d22acd3f88859c3767e,SC0Q,Invesco,2024-12-06,Equities (Stocks)
509209f87ff84495bf8c6259fa57e5ae,SJAP,Leverage Shares,2024-12-06,Equities (Stocks)
519b86624b2f4baaa2055443eda49cb1,SMLN,Invesco,2024-12-06,Equities (Stocks)
47cd6c41956640c594d580be2abc424a,QQL3,Leverage Shares,2024-12-06,Equities (Stocks)
47f05377b30f4901ba56a284b5860d44,3NFL,Leverage Shares,2024-12-06,Equities (Stocks)
48a6e55a308d4cf4aa3e3a4ff5932cef,3CON,Leverage Shares,2024-12-06,Equities (Stocks)
4910bfd87e364152814d1b7a690b7b0d,HIPS,HSBC,2024-12-11,Equities (Stocks)
49110248dda24dab89b575aceba613ba,STSL,Leverage Shares,2024-12-06,Equities (Stocks)
4a02c22ae8c64adcbd789cf66e363fcf,NVDI,Leverage Shares,2024-12-06,Equities (Stocks)
4a4a3a500dc14244acfddf6894336d98,HSWO,HSBC,2024-12-11,Equities (Stocks)
4ad5d3773d8c451d9f84d9d5f2cebedb,CBGB,Goldman Sachs,2024-12-06,Bonds
4bf5e25cd25d46c585d3120c7df7f780,5OGU,OSSIAM ETF,2024-12-11,Equities (Stocks)
4c3d58cae2d54797b0189a731bd44f1e,HMXS,HSBC,2024-12-11,Equities (Stocks)
4c8bb7ebfedd47539780f88f022b78aa,HFEX,HSBC,2024-12-11,Equities (Stocks)
4c9bb9481cc44c01bf8a1083f33a42dc,HEMV,HSBC,2024-12-11,Equities (Stocks)
4e068f1556f646b784c39f32efa0d3b3,MSFI,Leverage Shares,2024-12-06,Equities (Stocks)
4e6ea8a5905640bfa56931f4f0aa9a3f,HSXD,HSBC,2024-12-11,Equities (Stocks)
4ebc590ab2994138ae9d6a2a223154a4,1NGL,Leverage Shares,2024-12-06,Commodities & Metals
4f40d27d78664eab9fd6f461036cad98,XLES,Invesco,2024-12-06,Equities (Stocks)
4f4649206b884be4bf2f048091f3edc2,TSL1,Leverage Shares,2024-12-06,Equities (Stocks)
4fd91792786a47da9c2019b5e554bfa5,XLPS,Invesco,2024-12-06,Equities (Stocks)
50b4f63ae30b4503b7697ca1cd75fb42,SKOR,Leverage Shares,2024-12-06,Equities (Stocks)
517e80aa7dbd4c97880fd9972a2175e3,BID3,Leverage Shares,2024-12-06,Equities (Stocks)
51a41fd876bb491583071dc73fc37a81,XLYS,Invesco,2024-12-06,Equities (Stocks)
51b36a51a4874d13bd54d856631ca282,L6EW,OSSIAM ETF,2024-12-10,Equities (Stocks)
522f6d70de924e338a7e364367712e5c,ARM3,Leverage Shares,2024-12-06,Equities (Stocks)
48151fd63f6e4ea08b492eba85f92041,HKOR,HSBC,2024-12-11,Equities (Stocks)
483723c5d3014213b553a7fa5f1510ca,SMST,Leverage Shares,2024-12-06,Equities (Stocks)
4c15e1e93e1343c3bc31d963aa61420d,CAPU,OSSIAM ETF,2024-12-11,Equities (Stocks)
4c981612c3624feebd0ac02063968ba7,3NVD,Leverage Shares,2024-12-06,Equities (Stocks)
4eaebc26631b469a9a7f54ea94f47ea9,CAPE,OSSIAM ETF,2024-12-11,Equities (Stocks)
4fa9ca9daf1646ea905736ac6dc7d75e,HSUD,HSBC,2024-12-11,Equities (Stocks)
50227be295d041c09b81df0bff8de684,MLPS,Invesco,2024-12-06,Other Asset Types
5253be88a50f4398b5baf0897bbb0419,BRENT,Leverage Shares,2024-12-06,Commodities & Metals
5265cb69fd0f4c7fbcc782da5f7025cc,3GOO,Leverage Shares,2024-12-06,Equities (Stocks)
51acee0294914990b94e0a9debd95fd5,MAGB,Market Access,2024-12-06,Equities (Stocks)
47ce56370a9941c7876411af47767929,1ARKK,Leverage Shares,2024-12-06,Equities (Stocks)
4845fadccdb64aa3973c566f491f7b03,HODL,21Shares,2024-11-27,Other Asset Types
4866eb8f96854e21b7e44bdb569ffa6d,AUNI,21Shares,2024-11-27,Other Asset Types
4b91c536e72343c6b225d55e021df8fd,ASAND,21Shares,2024-11-27,Other Asset Types
4df53656b1b84d0682518ea0f8d858f6,ASUI,21Shares,2024-11-27,Other Asset Types
5274fdac84e34f9ea1611e1cc949d265,ETHC,21Shares,2024-11-27,Other Asset Types
5065027cc6d04903b230345bc28620a3,HSEM,HSBC,2024-12-11,Equities (Stocks)
52b81518a4ed47d1bc18098d76968f33,3AKI,Leverage Shares,2024-12-06,Equities (Stocks)
536c9d46177247dfbc4327348f6ea0ad,ETHC,21Shares,2024-11-27,Other Asset Types
553b669e4d5a4777bde98839a2531cb2,H410,HSBC,2024-12-11,Equities (Stocks)
55b4eb91baec431193f2e5863f77fd96,SC0X,Invesco,2024-12-06,Equities (Stocks)
55d44ef4cd1846f7aa75b9d661b07bc2,3URE,Leverage Shares,2024-12-06,Equities (Stocks)
577bde0b05ad4ae0b16ddac4f9d2ace4,SC0J,Invesco,2024-12-06,Equities (Stocks)
58bed43b657c4608a2af0e76267db47c,3COI,Leverage Shares,2024-12-06,Equities (Stocks)
59768cec61dc48ecb98e4a6bd0411fd6,HJAP,HSBC,2024-12-11,Equities (Stocks)
5a2569ef35904dc9b2f30fd8d156a993,SC0U,Invesco,2024-12-06,Equities (Stocks)
5c2c7dddea1b420ab404c126844f33ca,SMLD,Invesco,2024-12-06,Other Asset Types
5d0682e503e141ccacdf4f08e4773d28,OP4E,OSSIAM ETF,2024-12-10,Equities (Stocks)
5322e8f308db410391a8f40141ab0f7f,HMJA,HSBC,2024-12-11,Equities (Stocks)
545f595ba47e4e9f9dcbcac2514ba817,MKUW,Invesco,2024-12-06,Equities (Stocks)
54e692f4ff334c03b87a26b1bf4fbab3,3DIE,Leverage Shares,2024-12-06,Equities (Stocks)
552fa9b81d1d4d4781deee9f255cf47c,5TIP,Leverage Shares,2024-12-06,Bonds
5551145306fb42c1866239163e51bd9a,MSFE,Leverage Shares,2024-12-06,Equities (Stocks)
556d902ca27740ad81d78d3cb3d9abfb,SAPE,Leverage Shares,2024-12-06,Equities (Stocks)
559ae815331546fc9563a26a82ab8164,GSBG,Goldman Sachs,2024-12-06,Bonds
55f8b3be4ff1486e9a290402be780ec9,STAI,Leverage Shares,2024-12-06,Equities (Stocks)
5685adf0e121461b936d84e63392ba82,XLIS,Invesco,2024-12-06,Equities (Stocks)
56f9e53c384a4bf6b5f73a09cf5a7e31,3MBE,Leverage Shares,2024-12-06,Equities (Stocks)
571eb9195eb04d068f9e1ecbfd0beff0,SSPE,Leverage Shares,2024-12-06,Equities (Stocks)
57aa3c4ce78a4d5dadf3ee369bcbe2e9,DAXS,Leverage Shares,2024-12-06,Equities (Stocks)
57d9822efcd24d2b88d397c5a7e00b53,MLPP,Invesco,2024-12-06,Other Asset Types
5805610a6581495aa6e69e3e1e59e633,SBIO,Invesco,2024-12-06,Equities (Stocks)
58aa7be200bf4944ae072a404f7f6c65,CHNS,Leverage Shares,2024-12-06,Equities (Stocks)
58db1305ebaf43ea921e59e57a4175b4,SGOL,Leverage Shares,2024-12-06,Commodities & Metals
59742035b7964dcdbb5260cb133ddfff,HESS,HSBC,2024-12-11,Equities (Stocks)
59b596acb8a54789ac086625b908574e,1MSF,Leverage Shares,2024-12-06,Equities (Stocks)
59c8395ea0524748827bdbd59e5f0fd9,NVDD,Leverage Shares,2024-12-06,Equities (Stocks)
5ab86f6f5aef432c9e12a607f13f9f0e,SOXL,Leverage Shares,2024-12-06,Equities (Stocks)
5ae318645ab34589b8dc741b7554845d,COIY,Leverage Shares,2024-12-06,Equities (Stocks)
5b3d9a93ad7a4be39731d8e8d51a1721,C500,Invesco,2024-12-06,Equities (Stocks)
5b6f06b31ba1451987afe504da7c3de3,STAE,Leverage Shares,2024-12-06,Equities (Stocks)
5c1b9287b83b4d57af8aaf53296f78f6,GSGR,Goldman Sachs,2024-12-06,Bonds
5cd221a2ddeb4c77b4ec4232afc42ca7,HCAN,HSBC,2024-12-11,Equities (Stocks)
5d17794ee290468895aa67c82b14318f,HNSS,HSBC,2024-12-11,Equities (Stocks)
5d36aab5d891406aa76ea5b3762718a5,3XLE,Leverage Shares,2024-12-06,Equities (Stocks)
555256389efa47c1b098ae4e0ae2a5df,XLKS,Invesco,2024-12-06,Equities (Stocks)
57a22885e5484ebca8c08597ee51d06e,SDJE50,Invesco,2024-12-06,Equities (Stocks)
57d7f26b3a3b4a5aae2557903d69e8c9,GPT3,Leverage Shares,2024-12-06,Equities (Stocks)
58e808168118478b99782448c83f1f6a,CPER,Leverage Shares,2024-12-06,Commodities & Metals
5ac84693643d48eaac06ae33e32cb019,WTI,Leverage Shares,2024-12-06,Commodities & Metals
55871656e2bf44baaf2da043d25c5fc5,XLCS,Invesco,2024-12-06,Equities (Stocks)
558788e40af24bdab1ffee9519d63864,ALGO,21Shares,2024-11-27,Other Asset Types
5716dfefcd0043f9bfa3017fc65585d7,HIDR,HSBC,2024-12-11,Equities (Stocks)
57f5668bdbfc429bacf45daf652953b4,ABTC,21Shares,2024-11-27,Other Asset Types
5803338439f547db9beed681769a00ef,HMJP,HSBC,2024-12-11,Equities (Stocks)
58d2380823a14ca183dfc50964971374,XLFS,Invesco,2024-12-06,Equities (Stocks)
5a6f0e8208fc41d29137a985b8a2b28c,CAPU,OSSIAM ETF,2024-12-11,Equities (Stocks)
5b2c7d698fcc4af48566a12d0747cc7f,HESC,HSBC,2024-12-11,Equities (Stocks)
5c1d37c7e72d438b897de7e2998ae315,HODLEUR,21Shares,2024-11-27,Other Asset Types
5c28356ff920400da72f4fdcbb6504fa,OP7H,OSSIAM ETF,2024-12-11,Equities (Stocks)
5c455abd0268417d9a0eed1ac6b7fff8,HCANCAD,HSBC,2024-12-11,Equities (Stocks)
5d1d62e2b6e746ffa10e1e26ef316c60,POLYCHF,21Shares,2024-11-27,Other Asset Types
5d360f457ed749dcbda441ed40352007,5PXE,Invesco,2024-12-06,Equities (Stocks)
53cb8386515846f0a076185572d93dfa,3PLT,Leverage Shares,2024-12-06,Equities (Stocks)
56b88bb0edcd4aab8d852833031b59a4,SBTC,21Shares,2024-11-27,Other Asset Types
56e7aaed0c5b4a559f5d3ee1415487bc,5QQQ,Leverage Shares,2024-12-06,Equities (Stocks)
57d6198f49fe4f199f46bd55efdf4cd6,2FB,Leverage Shares,2024-12-06,Equities (Stocks)
554f48c8f1b2492294412152690630a9,AUNI,21Shares,2024-11-27,Other Asset Types
57d9b56ac49d4bc3948f39db6e4cd759,AMKR,21Shares,2024-11-27,Other Asset Types
586568646f454ad186a57dbb7d8cb40e,AADA,21Shares,2024-11-27,Other Asset Types
5d7eb7a2922e4fd19905e4156576db40,HPAE,HSBC,2024-12-11,Equities (Stocks)
5e829009339641879eb642521dc1d741,2SBT,21Shares,2024-11-27,Other Asset Types
5e861bee85004ebe9ecd0900314dca49,OP7E,OSSIAM ETF,2024-12-11,Equities (Stocks)
5f567ff6dd8a4287a75058d9af3a8330,MBZ3,Leverage Shares,2024-12-06,Equities (Stocks)
600401297147455fbfbb0dbbfac3b950,SC0Z,Invesco,2024-12-06,Equities (Stocks)
60bb0827e83141f2a9213678bf1451f2,SC06,Invesco,2024-12-06,Equities (Stocks)
61a8000fa1ba4d438187afeaa0378eae,H4ZT,HSBC,2024-12-11,Equities (Stocks)
62c6274c360a4a55a5575ca18cb4fffd,3XFE,Leverage Shares,2024-12-06,Equities (Stocks)
636617dd3bfd4890b22c9199de4e6cff,TIP5,Leverage Shares,2024-12-06,Bonds
63c2649206e841f6957ea1a2fc2443a8,HGGA,HSBC,2024-12-11,Bonds
642f5cb4aae8440fb1de96c4ca14bcf8,21XH,21Shares,2024-11-27,Other Asset Types
5e0dda2dc85c4fefabb9bcdeeeafaffa,APLS,Leverage Shares,2024-12-06,Equities (Stocks)
5ea4ad63628843199d302382f3a8f635,SAPL,Leverage Shares,2024-12-06,Equities (Stocks)
5ea8c5c596a14bda83b0243b8359adda,5IEF,Leverage Shares,2024-12-06,Bonds
5f05647395084e29bf868b1b3cc3295b,IEF5,Leverage Shares,2024-12-06,Bonds
5f17941b80164e369d278e2538104c42,SJAP,Leverage Shares,2024-12-06,Equities (Stocks)
5f660e78d4574c99af6367f94ba4ee1d,HMXA,HSBC,2024-12-11,Equities (Stocks)
5fe61499861648399c766cd3d05e230f,HSJS,HSBC,2024-12-11,Equities (Stocks)
614422b8e96c4ee582afe2cae8aea89c,JPN3,Leverage Shares,2024-12-06,Equities (Stocks)
61725958331f470c8d5c803bc4507c53,HPJS,HSBC,2024-12-11,Equities (Stocks)
6219e86b31ff40cf91a0fc7ead4bee90,3BID,Leverage Shares,2024-12-06,Equities (Stocks)
625bacb2aaa54c028d4b2e408fc6975a,SJD,Leverage Shares,2024-12-06,Equities (Stocks)
62f5e7135ddd4c1bb33a0a66dff6c270,1AMZ,Leverage Shares,2024-12-06,Equities (Stocks)
63349bb767274130a908930977550f58,AIS3,Leverage Shares,2024-12-06,Equities (Stocks)
6369fd6cbd404b8892a425b75bf5ba2f,GOO1,Leverage Shares,2024-12-06,Equities (Stocks)
63e01da776684402ba00b39ee730ffc3,HIES,HSBC,2024-12-11,Equities (Stocks)
64806ae8f8a845fc8583034e003810ef,2STS,Leverage Shares,2024-12-06,Equities (Stocks)
64a46adc16f042b3ac15fa217969402b,HPAX,HSBC,2024-12-11,Equities (Stocks)
64ad8873ba6642e19b20069226b801aa,3SSL,Leverage Shares,2024-12-06,Commodities & Metals
651bc011d30e4daa8f5bd4cbd5e5d08b,HNCS,HSBC,2024-12-11,Equities (Stocks)
65298792c890401b92678fd4f1eaf70c,S3CO,Leverage Shares,2024-12-06,Equities (Stocks)
6557e9f43b1841fc994db8fef2cf16d2,MXUD,Invesco,2024-12-06,Equities (Stocks)
65645a5745c84ec7923a20b6c62e31c4,HMEM,HSBC,2024-12-11,Equities (Stocks)
656b11469dfc4b81ad92b9031c665992,SJPN,Leverage Shares,2024-12-06,Equities (Stocks)
65959f1161924db3b03ce295aa136cfd,3NIO,Leverage Shares,2024-12-06,Equities (Stocks)
65a87a38b6bf4659aa9cbefd7db3c343,3SLV,Leverage Shares,2024-12-06,Commodities & Metals
65b40e4e806a450ca34e29b98f506813,3CHE,Leverage Shares,2024-12-06,Equities (Stocks)
66673c92f9004b46be33ebc6b8747316,1TSL,Leverage Shares,2024-12-06,Equities (Stocks)
66c1ee41f21c46e48f2b3aa1c1488dd1,3SUS,Leverage Shares,2024-12-06,Equities (Stocks)
66d359e8e3e948c3a8e633a8a4d1b7fc,GS2,Leverage Shares,2024-12-06,Equities (Stocks)
673231f702764042802bda9aad9b4b30,3QQE,Leverage Shares,2024-12-06,Equities (Stocks)
625f468af0b34cd7973005d5bf66b85e,HMXJ,HSBC,2024-12-11,Equities (Stocks)
62b1daeca6354f69a8a6d45688fed668,SNV3,Leverage Shares,2024-12-06,Equities (Stocks)
65396e26af7d4e94a6b471c258ac2ffb,SBIO,Invesco,2024-12-06,Equities (Stocks)
5daebdcb9dc645a59417d03f6b376d5e,ETHC,21Shares,2024-11-27,Other Asset Types
5dc00968864b428ab52c68f062593b63,SPXD,Invesco,2024-12-06,Equities (Stocks)
5dfff0e8f2794c6f976e3259068d5cc7,ALTSCHF,21Shares,2024-11-27,Other Asset Types
5e6c6359e3284c4498e8795e9b752ff2,ASTX,21Shares,2024-11-27,Other Asset Types
5f335f173b8b475386b0c8cfaedcb77b,EQQS,Invesco,2024-12-06,Equities (Stocks)
62249d20862c4c78b957c1568f234594,HMCT,HSBC,2024-12-11,Equities (Stocks)
668e3e72aead4f549bacbe81226636f4,MXUS,Invesco,2024-12-06,Equities (Stocks)
5f518f6b27d44b69a48b317ffb39b07b,SBIO,Invesco,2024-12-06,Equities (Stocks)
61fa581c806b4a978930509500d24932,COIB,Leverage Shares,2024-12-06,Equities (Stocks)
62c84da6484d489ba6938238d5363961,2TSL,Leverage Shares,2024-12-06,Equities (Stocks)
